ID, Name, Guild, Class, Hat, Equipment, Neck, Fur, Eyes, Mouth
955, #956 Blocky Doge: Guilds, 420 Syndicate, mage, blue mage, staff of earth, bell collar, sesame, stark, mustache
956, #957 Blocky Doge: Guilds, Legion of Lulz, rogue, brown hood, key collection, coin, sesame, anxious, goatee
957, #958 Blocky Doge: Guilds, House of Wow, mage, purple mage, staff of fire, key, grainy, upset, sad teeth
958, #959 Blocky Doge: Guilds, League of So Scare, knight, pointy helmet, gold spear, coin, light brown, angry, panting
959, #960 Blocky Doge: Guilds, League of So Scare, mage, blue mage, staff of electricity, So Scare tabard, orange, dizzy, thin surprised
960, #961 Blocky Doge: Guilds, 420 Syndicate, knight, fortified helmet, war scythe, coin, slime, eyepatch, jaw drop
961, #962 Blocky Doge: Guilds, Legion of Lulz, knight, fortified helmet, great sword, magic potion, sesame, unamused, thin surprised
962, #963 Blocky Doge: Guilds, Legion of Lulz, bard, blue cloak, pan flute, amethyst collar, light brown, teary, eeee
963, #964 Blocky Doge: Guilds, Legion of Lulz, knight, kettle, great sword, vial of light, orange, sleepy, mustache
964, #965 Blocky Doge: Guilds, House of Wow, knight, fortified helmet, void spear, coin, sesame, stark, jaw drop
965, #966 Blocky Doge: Guilds, Legion of Lulz, mage, purple mage, gold dust, opal, light brown, dizzy, wizard beard
966, #967 Blocky Doge: Guilds, League of So Scare, knight, basic helmet, great sword, emerald collar, orange, glasses, pipe
967, #968 Blocky Doge: Guilds, Legion of Lulz, knight, none, void spear, coin, light brown, cross eyed, droop
968, #969 Blocky Doge: Guilds, Legion of Lulz, knight, basic helmet, short sword, ruby collar, flat, skeptical, grey mustache
969, #970 Blocky Doge: Guilds, League of So Scare, cleric, cleric blue gem, curse protection potions, amethyst collar, orange, blush, wide flat
970, #971 Blocky Doge: Guilds, League of So Scare, rogue, green hood, dagger, amethyst collar, sesame, teary, wizard beard
971, #972 Blocky Doge: Guilds, Do Only Good Everyday Senate, bard, grey cloak, pan flute, bell collar, orange, teary, grimacing
972, #973 Blocky Doge: Guilds, House of Wow, mage, red mage, magic dust, coin, light pink, wide awake, pout
973, #974 Blocky Doge: Guilds, Do Only Good Everyday Senate, knight, basic helmet, war scythe, coin, orange, glow, sad teeth
974, #975 Blocky Doge: Guilds, Do Only Good Everyday Senate, knight, basic helmet, battle axe, amethyst collar, black and tan, snake, surprised
975, #976 Blocky Doge: Guilds, League of So Scare, rogue, purple hood, dagger, silver dogecoin, slime, content, tongue out
976, #977 Blocky Doge: Guilds, League of So Scare, mage, blue mage, staff of electricity, amethyst, purple, huh, teeth frown
977, #978 Blocky Doge: Guilds, 420 Syndicate, knight, basic helmet, spear, 420 Syndicate tabard, stinky, stark, wide flat
978, #979 Blocky Doge: Guilds, Do Only Good Everyday Senate, rogue, purple hood, dagger, ruby collar, light brown, upset, buck
979, #980 Blocky Doge: Guilds, 420 Syndicate, bard, dark purple cloak, hand drum, spiked collar, black and tan, stark, wide grin
980, #981 Blocky Doge: Guilds, 420 Syndicate, mage, purple mage, staff of ice, silver dogecoin, orange, angry, small
981, #982 Blocky Doge: Guilds, Legion of Lulz, multi-class, kettle, war scythe, gold dogecoin, orange, monocle, wide flat
982, #983 Blocky Doge: Guilds, House of Wow, knight, basic helmet, torch, coin, zombie, anxious, goatee
983, #984 Blocky Doge: Guilds, Legion of Lulz, mage, purple mage, staff of fire, coin, light brown, crazy, wide grin
984, #985 Blocky Doge: Guilds, 420 Syndicate, mage, purple mage, green seeing stone, bell collar, red, forlorn, jaw drop
985, #986 Blocky Doge: Guilds, Legion of Lulz, rogue, brown hood, dagger, emerald collar, light brown, rolling, wizard beard
986, #987 Blocky Doge: Guilds, 420 Syndicate, knight, none, gold handle sword, 420 Syndicate tabard, grainy, crazy, long pipe
987, #988 Blocky Doge: Guilds, House of Wow, knight, faceguard helmet, short sword, emerald collar, light brown, crazy, buck
988, #989 Blocky Doge: Guilds, League of So Scare, rogue, purple hood, key collection, coin, black and tan, content, drool
989, #990 Blocky Doge: Guilds, Legion of Lulz, knight, earguard helmet, void spear, bell collar, light brown, look left, surprised
990, #991 Blocky Doge: Guilds, Legion of Lulz, bard, light pink cloak, pan flute, vial of light, orange, huh, uhhhh
991, #992 Blocky Doge: Guilds, Do Only Good Everyday Senate, mage, purple mage, staff of ice, coin, black and tan, content, uhhhh
992, #993 Blocky Doge: Guilds, Do Only Good Everyday Senate, rogue, purple hood, poison powder, amethyst collar, sesame, forlorn, uhhhh
993, #994 Blocky Doge: Guilds, House of Wow, knight, bomb, short sword, emerald collar, inverted orange, huh, long pipe
994, #995 Blocky Doge: Guilds, Legion of Lulz, mage, green mage, staff of water, coin, light brown, clown, curly thin mustache
995, #996 Blocky Doge: Guilds, 420 Syndicate, knight, fortified helmet, lance, coin, orange, rolling, pout
996, #997 Blocky Doge: Guilds, House of Wow, mage, purple mage, green seeing stone, key, grainy, huh, confident
997, #998 Blocky Doge: Guilds, Do Only Good Everyday Senate, mage, yellow mage, staff of electricity, coin, sesame, confused, flat
998, #999 Blocky Doge: Guilds, House of Wow, knight, fortified helmet, torch, silver dogecoin, orange, beads, large smile
999, #1000 Blocky Doge: Guilds, 420 Syndicate, knight, kettle, torch, coin, orange, skeptical, long pipe
